time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
50,25600,32,779,924.8148148148148,490,0.2,2135.3791511535646,0.0,-1.7368467524647712e-06,1507.0,970.75439453125,0.0,3.635883331298828e-06,1e-06,-1.945893293619156
51,26112,32,792,921.3928571428571,500,0.2,287.33282413482664,3.4319237e-07,-4.2569683864712714e-05,1500.7142857142858,152.91473388671875,0.0,2.7835369110107422e-05,1e-06,-1.9458913862705232
52,26624,33,806,921.3928571428571,510,0.2,4917.588317871094,0.0,-1.1863256804645062e-05,1500.7142857142858,2072.7548828125,0.0,1.3947486877441406e-05,1e-06,-1.9458877965807915
53,27136,33,819,925.448275862069,520,0.2,1920.7415412902833,0.0,-6.418093107640744e-07,1529.1379310344828,498.9207458496094,0.0,2.1696090698242188e-05,1e-06,-1.9458875805139542
54,27648,33,833,915.0666666666667,530,0.2,5819.368634033203,0.0,-1.0637799277901649e-06,1533.2666666666667,2598.895263671875,0.0,-3.5762786865234375e-07,1e-06,-1.945887564122677
55,28160,33,847,915.0666666666667,540,0.2,4415.991351318359,0.0,-1.4763791114091873e-06,1533.2666666666667,1823.479736328125,0.0,1.0609626770019531e-05,1e-06,-1.945887553691864
56,28672,33,860,915.0666666666667,550,0.2,3161.2832214355467,0.0,-1.6089121345430613e-06,1533.2666666666667,1600.158203125,0.0,1.2993812561035156e-05,1e-06,-1.9458874583244323
57,29184,33,873,930.6129032258065,560,0.2,26.31271982192993,9.080395e-09,-1.7439655493944883e-05,1541.6774193548388,11.673279762268066,0.0,2.205371856689453e-06,1e-06,-1.9458868071436881
58,29696,33,886,930.6129032258065,570,0.2,1879.9702987670898,0.0,-3.110815305262804e-06,1541.6774193548388,926.5319213867188,0.0,1.9788742065429688e-05,1e-06,-1.9458857253193855
59,30208,33,900,930.6129032258065,580,0.2,3131.577418518066,0.0,-9.885465260595082e-07,1541.6774193548388,1722.089111328125,0.0,7.271766662597656e-06,1e-06,-1.9458856478333473
60,30720,33,913,930.6129032258065,590,0.2,25.98221981525421,1.0826625e-08,-1.4328965335153043e-05,1541.6774193548388,13.957124710083008,0.0,8.940696716308594e-07,1e-06,-1.9458851382136344
61,31232,33,926,972.6875,600,0.2,30.80727548599243,6.263144e-08,-3.961932088714093e-05,1543.5,16.758102416992188,0.0,2.980232238769531e-07,1e-06,-1.9458838269114493
62,31744,33,939,972.6875,610,0.2,1803.6829933166505,0.0,-1.0043522343039512e-05,1543.5,961.63134765625,0.0,4.5299530029296875e-06,1e-06,-1.9458826899528503
63,32256,33,952,964.1818181818181,620,0.2,4276.983996582031,0.0,-1.178588718175888e-06,1565.5757575757575,2242.695556640625,0.0,-1.5497207641601562e-06,1e-06,-1.9458824783563613
64,32768,33,965,954.5882352941177,630,0.2,4038.1587615966796,0.0,-9.21997707337141e-07,1587.5,2040.878173828125,0.0,-3.814697265625e-06,1e-06,-1.9458822324872016
65,33280,33,979,954.5882352941177,640,0.2,5396.676153564453,0.0,-1.1716678272932767e-06,1587.5,2531.218505859375,0.0,1.3709068298339844e-06,1e-06,-1.9458821386098861
66,33792,34,992,952.6857142857143,650,0.2,5734.126834106445,0.0,-1.6939127817749978e-06,1632.3714285714286,2708.14892578125,0.0,-2.384185791015625e-06,1e-06,-1.9458819717168807
67,34304,34,1005,947.1944444444445,660,0.2,4443.889321899414,0.0,-9.113049600273371e-07,1627.5,2161.772216796875,0.0,3.5762786865234375e-07,1e-06,-1.9458818659186363
68,34816,34,1018,947.1944444444445,670,0.2,1530.917919921875,0.0,-2.0613544620573522e-06,1627.5,665.6474609375,0.0,1.2099742889404297e-05,1e-06,-1.9458818569779397
